"imei","truck_registration","system_datetime_posix_utc_seconds","gps_latitude_decimal","gps_longitude_decimal"
"359206105988828","RA19OCH","2024-11-25 06:53:08.000","51.74625833333333","-1.434265"
"359206105988828","RA19OCH","2024-11-25 06:53:18.000","51.74625833333333","-1.434265"
"359206105988828","RA19OCH","2024-11-25 06:53:28.000","51.74625833333333","-1.434265"
"359206105988828","RA19OCH","2024-11-25 06:53:38.000","51.74625833333333","-1.434265"
"359206105988828","RA19OCH","2024-11-25 06:53:48.000","51.74625833333333","-1.4342633333333334"
"359206105988828","RA19OCH","2024-11-25 06:53:58.000","51.74625833333333","-1.4342633333333334"
"359206105988828","RA19OCH","2024-11-25 06:54:08.000","51.74625833333333","-1.4342633333333334"
"359206105988828","RA19OCH","2024-11-25 06:59:00.000","0.0","0.0"
"359206105988828","RA19OCH","2024-11-25 06:59:10.000","51.74668833333333","-1.436535"
"359206105988828","RA19OCH","2024-11-25 06:59:20.000","51.746615","-1.4365266666666667"
"359206105988828","RA19OCH","2024-11-25 06:59:30.000","51.74660333333333","-1.4364966666666668"
"359206105988828","RA19OCH","2024-11-25 06:59:40.000","51.74659333333334","-1.43647"
"359206105988828","RA19OCH","2024-11-25 06:59:50.000","51.746583333333334","-1.43644"
"359206105988828","RA19OCH","2024-11-25 07:00:00.000","51.74657833333333","-1.43642"
"359206105988828","RA19OCH","2024-11-25 07:00:10.000","51.74657333333333","-1.4364016666666668"
"359206105988828","RA19OCH","2024-11-25 07:00:20.000","51.74657166666667","-1.4363983333333334"
"359206105988828","RA19OCH","2024-11-25 07:00:31.000","51.74657333333333","-1.4364033333333333"
"359206105988828","RA19OCH","2024-11-25 07:00:41.000","51.74658","-1.436405"
"359206105988828","RA19OCH","2024-11-25 07:00:51.000","51.746588333333335","-1.436405"
"359206105988828","RA19OCH","2024-11-25 07:01:01.000","51.74659166666667","-1.436405"
"359206105988828","RA19OCH","2024-11-25 07:01:11.000","51.74659","-1.436405"
"359206105988828","RA19OCH","2024-11-25 07:01:21.000","51.74659","-1.43641"
"359206105988828","RA19OCH","2024-11-25 07:01:31.000","51.74659166666667","-1.4364083333333333"
"359206105988828","RA19OCH","2024-11-25 07:01:41.000","51.74659333333334","-1.4363983333333334"
"359206105988828","RA19OCH","2024-11-25 07:01:51.000","51.746583333333334","-1.4363666666666666"
"359206105988828","RA19OCH","2024-11-25 07:02:01.000","51.746583333333334","-1.43637"
"359206105988828","RA19OCH","2024-11-25 07:02:11.000","51.74659166666667","-1.4363866666666667"
"359206105988828","RA19OCH","2024-11-25 07:02:21.000","51.746595","-1.4363866666666667"
"359206105988828","RA19OCH","2024-11-25 07:02:31.000","51.746595","-1.436375"
"359206105988828","RA19OCH","2024-11-25 07:02:41.000","51.74659833333333","-1.4363666666666666"
"359206105988828","RA19OCH","2024-11-25 07:02:51.000","51.74659833333333","-1.43637"
"359206105988828","RA19OCH","2024-11-25 07:03:01.000","51.74659833333333","-1.43637"
"359206105988828","RA19OCH","2024-11-25 07:03:11.000","51.74659833333333","-1.43637"
"359206105988828","RA19OCH","2024-11-25 07:03:21.000","51.74659833333333","-1.4363716666666666"
"359206105988828","RA19OCH","2024-11-25 07:03:31.000","51.7466","-1.4363716666666666"
"359206105988828","RA19OCH","2024-11-25 07:03:41.000","51.7466","-1.4363733333333333"
"359206105988828","RA19OCH","2024-11-25 07:03:51.000","51.7466","-1.436375"
"359206105988828","RA19OCH","2024-11-25 07:04:01.000","51.7466","-1.4363766666666666"
"359206105988828","RA19OCH","2024-11-25 07:04:11.000","51.7466","-1.436378333333333"
"359206105988828","RA19OCH","2024-11-25 07:04:21.000","51.74660166666666","-1.43638"
"359206105988828","RA19OCH","2024-11-25 07:04:31.000","51.74660166666666","-1.436381666666667"
"359206105988828","RA19OCH","2024-11-25 07:04:41.000","51.74660166666666","-1.436385"
"359206105988828","RA19OCH","2024-11-25 07:04:51.000","51.74660333333333","-1.4363866666666667"
"359206105988828","RA19OCH","2024-11-25 07:05:01.000","51.74660333333333","-1.4363883333333334"
"359206105988828","RA19OCH","2024-11-25 07:05:11.000","51.74660333333333","-1.43639"
"359206105988828","RA19OCH","2024-11-25 07:05:21.000","51.74660333333333","-1.4363916666666667"
"359206105988828","RA19OCH","2024-11-25 07:05:31.000","51.746605","-1.4363916666666667"
"359206105988828","RA19OCH","2024-11-25 07:05:41.000","51.746605","-1.4363933333333332"
"359206105988828","RA19OCH","2024-11-25 07:05:51.000","51.746605","-1.436395"
"359206105988828","RA19OCH","2024-11-25 07:06:01.000","51.746605","-1.4363966666666668"
"359206105988828","RA19OCH","2024-11-25 07:06:11.000","51.746605","-1.4363983333333334"
"359206105988828","RA19OCH","2024-11-25 07:06:21.000","51.746605","-1.4363983333333334"
"359206105988828","RA19OCH","2024-11-25 07:06:31.000","51.746605","-1.4364"
